marker	SNP	chr	mb	SNP_impact	geneName	cmmb	logcmmb_quantile
s3065p45033	s3065p45033	Z	14.858144	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_14639663_14639896-GENE_ScYP8k310HRSCAF43chZ_15009962_15011263	0.488061036650974	very low
s2352p83401	s2352p83401	Z	15.062094	downstream_gene_variant	b1_b1_g10449	0.488061036650974	very low
s841p103982	s841p103982	Z	15.820529	intron_variant	b1_b1_g10465	0.436803706659351	very low
s2883p5015	s2883p5015	Z	16.599325	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_16565851_16593692-GENE_ScYP8k310HRSCAF43chZ_16747706_16817946	0.436803706659349	very low
s1398p90307	s1398p90307	Z	16.774326	intron_variant	b1_b1_g10496	0.436803706659349	very low
s1046p171642	s1046p171642	Z	16.921944	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_16861191_16866863-GENE_ScYP8k310HRSCAF43chZ_17630162_17678290	0.436803706659349	very low
s2335p56203	s2335p56203	Z	17.99126	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_17879365_17940861-GENE_ScYP8k310HRSCAF43chZ_18001823_18002131	0.436803706659349	very low
s245p257913	s245p257913	Z	19.18423	intron_variant	b1_b1_g10522	0.436803706659351	very low
s2857p88230	s2857p88230	Z	20.769722	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_20731569_20755127-GENE_ScYP8k310HRSCAF43chZ_20778990_20794349	1.360652111198	high
s1955p113015	s1955p113015	Z	20.855824	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_20778990_20794349-GENE_ScYP8k310HRSCAF43chZ_20884112_20893735	1.360652111198	high
s1955p35216	s1955p35216	Z	20.933506	intron_variant	b1_b1_g10551	1.360652111198	high
s1955p34895	s1955p34895	Z	20.933827	intron_variant	b1_b1_g10551	1.360652111198	high
s4343p942	s4343p942	Z	20.975141	intron_variant	b2_b2_g521	1.360652111198	high
s184p377164	s184p377164	Z	21.534543	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_21450118_21477622-GENE_ScYP8k310HRSCAF43chZ_21541736_21542818	0.957665635358345	low
s184p226003	s184p226003	Z	21.685612	upstream_gene_variant	b2_b2_g532	0.957665635358345	low
s184p225432	s184p225432	Z	21.686183	upstream_gene_variant	b2_b2_g532	0.957665635358345	low
s184p82120	s184p82120	Z	21.829384	downstream_gene_variant	b2_b2_g535	0.957665635358345	low
s341p299230	s341p299230	Z	22.413827	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_22397284_22408081-GENE_ScYP8k310HRSCAF43chZ_22420742_22422001	0.957665635358345	low
s341p166324	s341p166324	Z	22.546834	downstream_gene_variant	b1_b1_g10597	0.261149306376668	very low
s341p130693	s341p130693	Z	22.582484	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_22555518_22562163-GENE_ScYP8k310HRSCAF43chZ_22600662_22685206	0.261149306376668	very low
s860p76360	s860p76360	Z	22.792853	intron_variant	b1_b1_g10603	0.261149306376668	very low
s4513p33867	s4513p33867	Z	23.160787	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_23145578_23146948-GENE_ScYP8k310HRSCAF43chZ_23180198_23180797	0.261149306376668	very low
s4702p20860	s4702p20860	Z	23.199587	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_23180198_23180797-GENE_ScYP8k310HRSCAF43chZ_23507219_23557262	0.261149306376668	very low
s3826p36382	s3826p36382	Z	23.304101	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_23180198_23180797-GENE_ScYP8k310HRSCAF43chZ_23507219_23557262	0.261149306376668	very low
s5498p10786	s5498p10786	Z	24.349108	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_24139740_24141418-GENE_ScYP8k310HRSCAF43chZ_24467580_24512933	0.736611858395184	low
s3109p37238	s3109p37238	Z	24.423937	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_24139740_24141418-GENE_ScYP8k310HRSCAF43chZ_24467580_24512933	0.736611858395184	low
s1388p26244	s1388p26244	Z	24.703176	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_24634069_24682794-GENE_ScYP8k310HRSCAF43chZ_24749227_24760336	0.616368618155085	very low
s1646p148803	s1646p148803	Z	24.871839	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_24760643_24767448-GENE_ScYP8k310HRSCAF43chZ_24886281_24888101	0.616368618155085	very low
s2729p24602	s2729p24602	Z	25.050376	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_24886281_24888101-GENE_ScYP8k310HRSCAF43chZ_25386490_25388549	0.616368618155085	very low
s1152p192990	s1152p192990	Z	25.812366	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_25482875_25487387-GENE_ScYP8k310HRSCAF43chZ_26597603_26597869	0.493279969834878	very low
s413p150602	s413p150602	Z	26.77187	downstream_gene_variant	b1_b1_g10639	0.508041638733846	very low
s413p163826	s413p163826	Z	26.785094	upstream_gene_variant	b1_b1_g10641	0.508041638733846	very low
s413p232283	s413p232283	Z	26.853476	downstream_gene_variant	b1_b1_g10645	0.508041638733846	very low
s413p245019	s413p245019	Z	26.866212	downstream_gene_variant	b2_b2_g610	0.508041638733846	very low
s413p251225	s413p251225	Z	26.872417	intron_variant	b1_b1_g10647	0.508041638733846	very low
s413p251666	s413p251666	Z	26.872858	intron_variant	b1_b1_g10647	0.508041638733846	very low
s413p270091	s413p270091	Z	26.891282	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_26868051_26877949-GENE_ScYP8k310HRSCAF43chZ_26901691_26933520	0.508041638733846	very low
s5430p4783	s5430p4783	Z	27.071225	upstream_gene_variant	b1_b1_g10656	0.508041638733846	very low
s2298p112682	s2298p112682	Z	27.27441	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_27244280_27267367-GENE_ScYP8k310HRSCAF43chZ_27387552_27390594	0.508041638733846	very low
s1606p67873	s1606p67873	Z	28.067045	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_28037779_28049515-GENE_ScYP8k310HRSCAF43chZ_28077959_28082999	0.64948126637659	low
s1560p20952	s1560p20952	Z	28.161895	upstream_gene_variant	b1_b1_g10691	0.64948126637659	low
s494p134440	s494p134440	Z	28.607976	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_28389271_28427899-GENE_ScYP8k310HRSCAF43chZ_28671242_28687344	0.547718408233154	very low
s494p187865	s494p187865	Z	28.661428	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_28389271_28427899-GENE_ScYP8k310HRSCAF43chZ_28671242_28687344	0.547718408233154	very low
s2005p51663	s2005p51663	Z	29.083017	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_28979759_28981399-GENE_ScYP8k310HRSCAF43chZ_29200214_29206553	0.547718408233154	very low
s2637p39200	s2637p39200	Z	29.380745	downstream_gene_variant	b1_b1_g10711	0.547718408233154	very low
s609p47273	s609p47273	Z	29.500621	intron_variant	b1_b1_g10715	0.547718408233156	very low
s376p244619	s376p244619	Z	29.990198	intron_variant	b1_b1_g10730	0.547718408233156	very low
s376p202876	s376p202876	Z	30.031916	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_29973086_29999932-GENE_ScYP8k310HRSCAF43chZ_30068969_30072645	0.547718408233156	very low
s2588p85864	s2588p85864	Z	30.325282	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_30303157_30303546-GENE_ScYP8k310HRSCAF43chZ_30557722_30572708	0.547718408233156	very low
s483p231862	s483p231862	Z	30.907509	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_30870557_30878622-GENE_ScYP8k310HRSCAF43chZ_30936980_30937949	0.841095386296901	low
s483p231462	s483p231462	Z	30.907909	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_30870557_30878622-GENE_ScYP8k310HRSCAF43chZ_30936980_30937949	0.841095386296901	low
s483p29134	s483p29134	Z	31.106701	upstream_gene_variant	b2_b2_g734	0.841095386296901	low
s483p12699	s483p12699	Z	31.123089	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_31107142_31114950-GENE_ScYP8k310HRSCAF43chZ_31235409_31236345	0.841095386296901	low
s623p185749	s623p185749	Z	32.657958	intron_variant	b1_b1_g10777	0.694334741453454	low
s122p224646	s122p224646	Z	33.099914	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_33091582_33093128-GENE_ScYP8k310HRSCAF43chZ_33132996_33134290	0.694334741453454	low
s122p529291	s122p529291	Z	33.399655	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_33368073_33373217-GENE_ScYP8k310HRSCAF43chZ_33514343_33514926	0.694334741453454	low
s122p825744	s122p825744	Z	33.695922	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_33592428_33598000-GENE_ScYP8k310HRSCAF43chZ_33711683_33729885	0.485947433396702	very low
s122p825880	s122p825880	Z	33.696058	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_33592428_33598000-GENE_ScYP8k310HRSCAF43chZ_33711683_33729885	0.485947433396702	very low
s4102p43799	s4102p43799	Z	33.87872	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_33711683_33729885-GENE_ScYP8k310HRSCAF43chZ_34547538_34563135	0.485947433396702	very low
s4958p4432	s4958p4432	Z	35.960907	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_35908225_35947519-GENE_ScYP8k310HRSCAF43chZ_35978450_35981877	0.279790109195186	very low
s173p422651	s173p422651	Z	37.277448	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_37220386_37271967-GENE_ScYP8k310HRSCAF43chZ_37365117_37397398	0.279790109195186	very low
s173p603886	s173p603886	Z	37.458644	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_37438513_37439619-GENE_ScYP8k310HRSCAF43chZ_37527757_37549335	0.279790109195186	very low
s173p675510	s173p675510	Z	37.530579	intron_variant	b1_b1_g10857	0.279790109195185	very low
s949p85169	s949p85169	Z	38.652208	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_38610579_38611036-GENE_ScYP8k310HRSCAF43chZ_39085246_39153315	0.279790109195186	very low
s943p5154	s943p5154	Z	39.381891	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_39182866_39183595-GENE_ScYP8k310HRSCAF43chZ_39710889_39753550	0.279790109195186	very low
s2327p11623	s2327p11623	Z	39.496983	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_39182866_39183595-GENE_ScYP8k310HRSCAF43chZ_39710889_39753550	0.279790109195186	very low
s149p763550	s149p763550	Z	39.656194	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_39182866_39183595-GENE_ScYP8k310HRSCAF43chZ_39710889_39753550	0.283375006376462	very low
s149p38222	s149p38222	Z	40.381878	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_40372485_40375768-GENE_ScYP8k310HRSCAF43chZ_40424692_40459481	0.283375006376462	very low
s1126p27688	s1126p27688	Z	40.954452	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_40836993_40871371-GENE_ScYP8k310HRSCAF43chZ_41024487_41025849	0.299672311359395	very low
s2605p23583	s2605p23583	Z	41.673495	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_41378197_41563361-GENE_ScYP8k310HRSCAF43chZ_41802012_41803046	0.299610307741955	very low
s2952p42330	s2952p42330	Z	41.794404	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_41378197_41563361-GENE_ScYP8k310HRSCAF43chZ_41802012_41803046	0.299610307741955	very low
s871p208575	s871p208575	Z	41.896853	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_41853923_41873831-GENE_ScYP8k310HRSCAF43chZ_41948069_41949845	0.299610307741955	very low
s4828p233	s4828p233	Z	42.208307	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_42177404_42178092-GENE_ScYP8k310HRSCAF43chZ_42247210_42248961	0.299610307741955	very low
s2041p25744	s2041p25744	Z	44.177755	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_44051393_44061251-GENE_ScYP8k310HRSCAF43chZ_44832510_44833961	0.22682371279073	very low
s2561p182	s2561p182	Z	45.028478	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_44832510_44833961-GENE_ScYP8k310HRSCAF43chZ_45640926_45643211	0.22682371279073	very low
s430p89870	s430p89870	Z	45.802078	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_45640926_45643605-GENE_ScYP8k310HRSCAF43chZ_45866314_46005968	0.226823712790727	very low
s312p411629	s312p411629	Z	47.615657	intron_variant	b1_b1_g11006	0.254583898427809	very low
s312p412364	s312p412364	Z	47.616392	intron_variant	b1_b1_g11006	0.254583898427809	very low
s264p337177	s264p337177	Z	47.952348	upstream_gene_variant	b2_b2_g1009	0.254583898427809	very low
s780p92681	s780p92681	Z	48.644184	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_48617534_48627552-GENE_ScYP8k310HRSCAF43chZ_48650446_48651097	0.310789944466976	very low
s460p290829	s460p290829	Z	49.399793	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_49348418_49360674-GENE_ScYP8k310HRSCAF43chZ_49445789_49446238	0.310789944466976	very low
s460p285805	s460p285805	Z	49.404817	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_49348418_49360674-GENE_ScYP8k310HRSCAF43chZ_49445789_49446238	0.310789944466976	very low
s460p278291	s460p278291	Z	49.412331	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_49348418_49360674-GENE_ScYP8k310HRSCAF43chZ_49445789_49446238	0.310789944466976	very low
s478p271918	s478p271918	Z	50.128274	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_49955337_49992662-GENE_ScYP8k310HRSCAF43chZ_50307356_50309125	0.310789944466977	very low
s640p157837	s640p157837	Z	52.596697	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_52521332_52549090-GENE_ScYP8k310HRSCAF43chZ_52610700_52618905	0.391941550642679	very low
s1521p163458	s1521p163458	Z	52.973033	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_52924606_52925145-GENE_ScYP8k310HRSCAF43chZ_53017010_53018665	0.391941550642679	very low
s2378p101493	s2378p101493	Z	53.15106	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_53091935_53093679-GENE_ScYP8k310HRSCAF43chZ_53428968_53502478	0.391941550642679	very low
s2378p42273	s2378p42273	Z	53.208314	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_53091935_53093679-GENE_ScYP8k310HRSCAF43chZ_53428968_53502478	0.391941550642679	very low
s179p653679	s179p653679	Z	53.394512	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_53091935_53093679-GENE_ScYP8k310HRSCAF43chZ_53428968_53502478	0.391941550642679	very low
s288p331741	s288p331741	Z	54.250472	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_54236236_54237940-GENE_ScYP8k310HRSCAF43chZ_54302086_54362121	0.389888620139207	very low
s288p331223	s288p331223	Z	54.25099	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_54236236_54237940-GENE_ScYP8k310HRSCAF43chZ_54302086_54362121	0.389888620139207	very low
s583p91246	s583p91246	Z	54.897117	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_54754750_54765668-GENE_ScYP8k310HRSCAF43chZ_55234241_55321003	0.185065161796409	very low
s454p65239	s454p65239	Z	55.055481	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_54754750_54765668-GENE_ScYP8k310HRSCAF43chZ_55234241_55321003	0.185065161796409	very low
s454p66980	s454p66980	Z	55.057221	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_54754750_54765668-GENE_ScYP8k310HRSCAF43chZ_55234241_55321003	0.185065161796409	very low
s917p16926	s917p16926	Z	55.565477	downstream_gene_variant	b1_b1_g11192	0.399600882863734	very low
s917p31618	s917p31618	Z	55.580063	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_55570334_55570582-GENE_ScYP8k310HRSCAF43chZ_55605950_55666813	0.399600882863734	very low
s734p149575	s734p149575	Z	56.540934	intron_variant	b1_b1_g11206	0.551244268523506	very low
s511p33099	s511p33099	Z	57.129528	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_57117245_57117919-GENE_ScYP8k310HRSCAF43chZ_57158700_57165312	0.551244268523506	very low
s109p10034	s109p10034	Z	57.180489	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_57158700_57165312-GENE_ScYP8k310HRSCAF43chZ_57249832_57250398	0.551244268523506	very low
s109p17989	s109p17989	Z	57.188444	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_57158700_57165312-GENE_ScYP8k310HRSCAF43chZ_57249832_57250398	0.551244268523506	very low
s109p49276	s109p49276	Z	57.219768	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_57158700_57165312-GENE_ScYP8k310HRSCAF43chZ_57249832_57250398	0.551244268523506	very low
s109p300050	s109p300050	Z	57.475268	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_57437829_57443056-GENE_ScYP8k310HRSCAF43chZ_57489953_57490498	0.551244268523506	very low
s109p326853	s109p326853	Z	57.501909	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_57489953_57490498-GENE_ScYP8k310HRSCAF43chZ_57629652_57630029	0.559323936770311	very low
s109p442224	s109p442224	Z	57.617101	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_57489953_57490498-GENE_ScYP8k310HRSCAF43chZ_57629652_57630029	0.559323936770311	very low
s109p477774	s109p477774	Z	57.652652	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_57629652_57630029-GENE_ScYP8k310HRSCAF43chZ_57673612_57681420	0.559323936770311	very low
s2058p3283	s2058p3283	Z	58.246235	downstream_gene_variant	b2_b2_g1259	0.559323936770311	very low
s2058p3109	s2058p3109	Z	58.246409	downstream_gene_variant	b2_b2_g1259	0.559323936770311	very low
s163p697059	s163p697059	Z	59.112043	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_59069942_59072217-GENE_ScYP8k310HRSCAF43chZ_59676599_59692264	0.534546743964538	very low
s1255p134767	s1255p134767	Z	61.14423	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_61119643_61121186-GENE_ScYP8k310HRSCAF43chZ_61158073_61161622	0.534546743964535	very low
s5501p10678	s5501p10678	Z	61.477223	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_61451397_61453842-GENE_ScYP8k310HRSCAF43chZ_61547634_61551597	0.534546743964535	very low
s2730p29595	s2730p29595	Z	61.774037	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_61733648_61735031-GENE_ScYP8k310HRSCAF43chZ_61781183_61783282	0.92758056887917	low
s3527p39657	s3527p39657	Z	61.848377	intron_variant	b1_b1_g11321	0.92758056887917	low
s3645p17957	s3645p17957	Z	62.112394	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_62009786_62018464-GENE_ScYP8k310HRSCAF43chZ_62487673_62495748	0.92758056887917	low
s1262p188032	s1262p188032	Z	62.347733	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_62009786_62018464-GENE_ScYP8k310HRSCAF43chZ_62487673_62495748	0.92758056887917	low
s10584p972	s10584p972	Z	62.353869	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_62009786_62018464-GENE_ScYP8k310HRSCAF43chZ_62487673_62495748	0.92758056887917	low
s755p200126	s755p200126	Z	62.606903	intron_variant	b1_b1_g11333	1.1748468956694	low
s1634p112186	s1634p112186	Z	62.75251	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_62729455_62730102-GENE_ScYP8k310HRSCAF43chZ_62817139_62817703	1.1748468956694	low
s1634p90670	s1634p90670	Z	62.774114	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_62729455_62730102-GENE_ScYP8k310HRSCAF43chZ_62817139_62817703	1.1748468956694	low
s2109p122269	s2109p122269	Z	62.856701	intron_variant	b1_b1_g11339	1.1748468956694	low
s272p207307	s272p207307	Z	63.795322	intron_variant	b1_b1_g11361	0.741181148165283	low
s1222p22456	s1222p22456	Z	64.292366	intron_variant	b1_b1_g11378	0.741181148165283	low
s3076p80240	s3076p80240	Z	64.481653	intron_variant	b1_b1_g11386	0.741181148165283	low
s544p11172	s544p11172	Z	64.580851	intron_variant	b1_b1_g11390	0.901141972871141	low
s544p126570	s544p126570	Z	64.696017	intron_variant	b1_b1_g11391	0.901141972871141	low
s1863p60364	s1863p60364	Z	65.020663	upstream_gene_variant	b1_b1_g11396	0.901141972871141	low
s1023p187927	s1023p187927	Z	65.238596	intergenic_region	GENE_ScYP8k310HRSCAF43chZ_65087413_65193581-GENE_ScYP8k310HRSCAF43chZ_65277406_65277756	0.901141972871141	low
s1023p150552	s1023p150552	Z	65.275899	upstream_gene_variant	b2_b2_g1422	0.901141972871141	low
s1665p64611	s1665p64611	Z	65.67532	stop_gained	b1_b1_g11426	1.94687895016646	high
s1665p64439	s1665p64439	Z	65.675492	downstream_gene_variant	b1_b1_g11425	1.94687895016646	high
s1665p61815	s1665p61815	Z	65.678116	intron_variant	b1_b1_g11426	1.94687895016646	high
s1665p30116	s1665p30116	Z	65.70981	upstream_gene_variant	b1_b1_g11427	1.94687895016646	high
s1665p23831	s1665p23831	Z	65.716095	splice_region_variant&intron_variant	b1_b1_g11428	1.94687895016646	high
s1665p18169	s1665p18169	Z	65.721737	upstream_gene_variant	b2_b2_g1447	1.94687895016646	high
s1665p17610	s1665p17610	Z	65.722296	upstream_gene_variant	b2_b2_g1447	1.94687895016646	high
s6289p6122	s6289p6122	Z	65.788542	upstream_gene_variant	b2_b2_g1455	1.94687895016646	high
s6289p6002	s6289p6002	Z	65.788662	upstream_gene_variant	b2_b2_g1455	1.94687895016646	high
s3701p60145	s3701p60145	Z	65.790041	intron_variant	b1_b1_g11438	1.94687895016646	high
s3701p3682	s3701p3682	Z	65.847563	upstream_gene_variant	b1_b1_g11453	1.94687895016646	high
s4539p5039	s4539p5039	Z	65.8989	intron_variant	b1_b1_g11460	1.94687895016646	high
s44p306163	s44p306163	Z	66.242929	downstream_gene_variant	b2_b2_g1484	1.94687895016646	high
s44p514194	s44p514194	Z	66.452957	downstream_gene_variant	b1_b1_g11481	1.94687895016646	high
s44p523308	s44p523308	Z	66.462071	upstream_gene_variant	b1_b1_g11482	1.94687895016646	high
s44p535207	s44p535207	Z	66.474011	upstream_gene_variant	b2_b2_g1500	1.94687895016646	high
s44p599912	s44p599912	Z	66.538897	upstream_gene_variant	b2_b2_g1506	2.56146981259177	high
s44p643188	s44p643188	Z	66.58201	upstream_gene_variant	b1_b1_g11494	2.56146981259177	high
s44p650084	s44p650084	Z	66.589014	intron_variant	b2_b2_g1509	2.56146981259177	high
s44p668137	s44p668137	Z	66.607129	downstream_gene_variant	b1_b1_g11498	2.56146981259177	high
s44p668864	s44p668864	Z	66.607856	downstream_gene_variant	b1_b1_g11498	2.56146981259177	high
